[1] ">>>> Accuracy CI [ 0.632280642201463 , 0.643719357798537 ]"
[1] ">>>> Recall CI [ 0.627794652434843 , 0.644836926512525 ]"
[1] ">>>> Precision CI [ 0.633107591469004 , 0.645555561459908 ]"
[1] ">>>> F1 CI [ 0.631021565761938 , 0.643069707685967 ]"

accuracy,precision,recall,f1
0.6,0.609195402298851,0.557894736842105,0.582417582417582
0.615789473684211,0.625,0.578947368421053,0.601092896174863
0.647368421052632,0.652173913043478,0.631578947368421,0.641711229946524
0.631578947368421,0.626262626262626,0.652631578947368,0.639175257731959
0.657894736842105,0.666666666666667,0.631578947368421,0.648648648648649
0.636842105263158,0.63,0.663157894736842,0.646153846153846
0.610526315789474,0.610526315789474,0.610526315789474,0.610526315789474
0.621052631578947,0.6,0.726315789473684,0.657142857142857
0.668421052631579,0.677777777777778,0.642105263157895,0.659459459459459
0.610526315789474,0.62962962962963,0.536842105263158,0.579545454545455
0.657894736842105,0.65625,0.663157894736842,0.659685863874346
0.652631578947368,0.662921348314607,0.621052631578947,0.641304347826087
0.657894736842105,0.653061224489796,0.673684210526316,0.663212435233161
0.615789473684211,0.619565217391304,0.6,0.609625668449198
0.652631578947368,0.659340659340659,0.631578947368421,0.645161290322581
0.657894736842105,0.666666666666667,0.631578947368421,0.648648648648649
0.663157894736842,0.65979381443299,0.673684210526316,0.666666666666667
0.647368421052632,0.64,0.673684210526316,0.656410256410256
0.657894736842105,0.659574468085106,0.652631578947368,0.656084656084656
0.647368421052632,0.648936170212766,0.642105263157895,0.645502645502646
0.642105263157895,0.636363636363636,0.663157894736842,0.649484536082474
0.726315789473684,0.712871287128713,0.757894736842105,0.73469387755102
0.652631578947368,0.666666666666667,0.610526315789474,0.637362637362637
0.605263157894737,0.604166666666667,0.610526315789474,0.607329842931937
0.621052631578947,0.611650485436893,0.663157894736842,0.636363636363636
0.657894736842105,0.674418604651163,0.610526315789474,0.640883977900553
0.621052631578947,0.629213483146067,0.589473684210526,0.608695652173913
0.626315789473684,0.627659574468085,0.621052631578947,0.624338624338624
0.636842105263158,0.644444444444444,0.610526315789474,0.627027027027027
0.657894736842105,0.674418604651163,0.610526315789474,0.640883977900553
0.626315789473684,0.630434782608696,0.610526315789474,0.620320855614973
0.636842105263158,0.647727272727273,0.6,0.622950819672131
0.673684210526316,0.673684210526316,0.673684210526316,0.673684210526316
0.694736842105263,0.71264367816092,0.652631578947368,0.681318681318681
0.631578947368421,0.628865979381443,0.642105263157895,0.635416666666667
0.663157894736842,0.650485436893204,0.705263157894737,0.676767676767677
0.647368421052632,0.670731707317073,0.578947368421053,0.621468926553672
0.694736842105263,0.71264367816092,0.652631578947368,0.681318681318681
0.6,0.587155963302752,0.673684210526316,0.627450980392157
0.631578947368421,0.623762376237624,0.663157894736842,0.642857142857143
0.642105263157895,0.642105263157895,0.642105263157895,0.642105263157895
0.652631578947368,0.638095238095238,0.705263157894737,0.67
0.615789473684211,0.627906976744186,0.568421052631579,0.596685082872928
0.626315789473684,0.630434782608696,0.610526315789474,0.620320855614973
0.626315789473684,0.617647058823529,0.663157894736842,0.639593908629442
0.642105263157895,0.651685393258427,0.610526315789474,0.630434782608696
0.663157894736842,0.674157303370786,0.631578947368421,0.652173913043478
0.605263157894737,0.6,0.631578947368421,0.615384615384615
0.642105263157895,0.642105263157895,0.642105263157895,0.642105263157895
0.626315789473684,0.636363636363636,0.589473684210526,0.612021857923497
0.647368421052632,0.659090909090909,0.610526315789474,0.633879781420765
0.6,0.597938144329897,0.610526315789474,0.604166666666667
0.6,0.595959595959596,0.621052631578947,0.608247422680412
0.626315789473684,0.627659574468085,0.621052631578947,0.624338624338624
0.642105263157895,0.645161290322581,0.631578947368421,0.638297872340425
0.642105263157895,0.651685393258427,0.610526315789474,0.630434782608696
0.636842105263158,0.63,0.663157894736842,0.646153846153846
0.673684210526316,0.666666666666667,0.694736842105263,0.680412371134021
0.58421052631579,0.590909090909091,0.547368421052632,0.568306010928962
0.610526315789474,0.617977528089888,0.578947368421053,0.597826086956522
0.684210526315789,0.688172043010753,0.673684210526316,0.680851063829787
0.7,0.706521739130435,0.684210526315789,0.695187165775401
0.642105263157895,0.642105263157895,0.642105263157895,0.642105263157895
0.594736842105263,0.59,0.621052631578947,0.605128205128205
