base_similar_mfcc,base_dissimilar_mfcc,similar_dissimilar_mfcc,dissimilar_similar_mfcc,dissimilar_base_mfcc,similar_base_mfcc,base_similar_chroma,base_dissimilar_chroma,similar_dissimilar_chroma,dissimilar_similar_chroma,dissimilar_base_chroma,similar_base_chroma,ab_gt_ac
690.883956943318,695.1384185002988,503.46646684718576,408.70704543275394,558.2451170085285,669.1296769758237,9.099711981988587,6.2126392400945365,6.70085918103346,7.377436294387275,3.0160516626167846,5.580311789517764,TRUE
525.2272991846032,509.27753702055134,706.4196750804118,757.0100576570337,538.3950515353697,533.3924234959466,3.9167213100264493,5.224429967174257,5.1555928679531,5.6559500018983115,6.329296812807513,4.177436049887878,TRUE
891.5029910179658,1198.9348253407593,1340.0442633962343,1150.6576246060338,948.4909459001019,1512.7935765139011,0.7076386305644304,3.4115496829487237,3.478261356841648,2.57228808001419,2.597539612362033,0.6987537639607446,TRUE
421.0853129258945,828.5123599962621,838.5463269699492,670.563148834038,665.774920161419,394.15922714118625,4.719732844559357,5.043815633418828,6.210483557332209,4.073164041614137,5.318223560270929,6.649413821215799,TRUE
329.11283195199377,301.8695660311244,469.3104151402557,430.68572061036457,259.22142081528114,298.8014510004771,3.051427298221878,3.593024358558809,4.4693856287554565,3.908665014859886,3.845503456051223,2.1130433353873816,TRUE
1645.6238234916411,470.85584760112914,1671.590449548762,1603.3313380665627,454.8570843356745,1595.8303143001995,2.1672112777704275,5.7499926160457635,6.021328241594192,4.808774128089341,5.983110915180517,3.267840058264652,TRUE
417.64555988653655,1153.7180924011216,1539.0691499209056,1574.4993950457729,1300.4100216987176,520.7094065307144,5.175034206203032,5.754581867927966,6.297240713309956,6.434916099710417,6.166864605219056,5.466503815761428,TRUE
592.4584365327181,931.0248730403944,620.0357685162272,583.1525561312853,778.598909221432,501.0099351114051,5.906395400101017,5.460662038686811,6.263822555177572,6.423745706668966,3.570193232951612,5.8995709602501005,TRUE
566.7016760236196,853.1264962514103,1063.3062190427825,842.3152787749611,790.2489853947693,699.7702215530276,4.341336500840507,4.61261007965354,6.667985592337887,4.074385449148447,3.873175321849124,5.371913677317642,TRUE
555.9840346219148,961.6014871876826,934.2581499514836,890.5121770296654,1061.422585186384,705.3767290055628,4.055567693551592,4.704221839061147,4.60899228916978,4.668621625683417,5.365270997069494,6.056242145832425,TRUE
462.8767419648227,510.60620611719094,791.0440495620066,750.7012674463072,419.26587810195764,401.32546396753526,3.7314005753470405,6.1709645233769566,4.232360686416927,6.628157982682147,6.667150251925868,3.911073739421642,TRUE
1181.0321481439544,922.4466880834129,798.5958267892445,855.1019297801517,971.0636124648354,1040.1915735519492,6.444463951098569,3.5774154064579404,5.530746429805891,7.060800077964122,2.6308963737792666,5.093831132251317,TRUE
427.07000633918386,470.78657900544783,558.2177159514933,635.4338200342492,497.2377010425292,377.82387787206557,7.459515939770026,3.5714561020691638,5.029212550869103,6.434308580133366,3.440406372887863,5.482332084559075,TRUE
448.2922980858368,577.9998541716071,477.1854837186992,575.4668525731944,613.1924425252433,410.9217039597944,4.492204014573085,5.409009470162167,6.189440590806202,6.539979688474127,5.149059727671964,4.748000052199405,TRUE
1320.1425140197496,694.2318264395003,1740.2200400380257,1791.2306580148197,765.7323201970928,1310.6684282006208,5.781383748452561,5.688376676070865,5.511666062748599,6.104681254556403,5.890592896479845,5.205741667371697,TRUE
782.8010958411896,809.4177394838318,1793.8042290864055,1462.3787546816502,1096.158336554534,848.7509329747784,5.107335560292043,5.130792317459285,5.251613209235708,5.296362085157961,4.885450531501685,4.73071000325221,TRUE
401.32546396753526,791.0440495620066,510.60620611719094,419.26587810195764,750.7012674463072,462.8767419648227,3.911073739421642,4.232360686416927,6.1709645233769566,6.667150251925868,6.628157982682147,3.7314005753470405,TRUE
423.4237473738844,487.65785042971055,589.9919449603143,606.0073583674075,479.6252815779892,386.317510844204,7.470459093774567,4.630698216584822,5.363810386930872,6.2039107182143,4.399563996210149,6.99798802763717,TRUE
